map_key,map_label,source_file,polygon_created,polygon_count,area_m2,area_ha,boundary_length_m,error,sort_key
melotte,Melotte (1721),melotte_area_lake.gpkg,False,0,,,3472.0078969550623,,1721
melotte,Melotte (1721),melotte_area_lake_polygon.gpkg,True,1,1318230.3943020494,131.82303943020494,7572.8959816911065,,1721
melotte,Melotte (1721),melotte_area_lake_polygon.shp,True,1,1318230.3943020494,131.82303943020494,7572.8959816911065,,1721
berney,Berney (1831),berney_area_lake.gpkg,False,0,,,3580.045420890752,,1831
berney,Berney (1831),berney_area_lake_polygon.gpkg,True,1,1375956.3119028257,137.59563119028257,7667.288947447007,,1831
berney,Berney (1831),berney_area_lake_polygon.shp,True,1,1375956.3119028257,137.59563119028257,7667.288947447007,,1831
renove,Rénové (1888),renove_area_lake.gpkg,True,1,1310513.2708134155,131.05132708134155,8068.015497049984,,1888
renove,Rénové (1888),renove_area_lake_polygon.gpkg,True,1,1310513.2708134155,131.05132708134155,8068.015497049984,,1888
renove,Rénové (1888),renove_area_lake_polygon.shp,True,1,1310513.2708134155,131.05132708134155,8068.015497049984,,1888
1937,1937,1937_area_lake.gpkg,False,0,,,4247.293037841587,,1937
1937,1937,1937_area_lake_polygon.gpkg,True,1,1167445.4248030821,116.74454248030821,8290.91696408747,,1937
1937,1937,1937_area_lake_polygon.shp,True,1,1167445.4248032602,116.74454248032602,8290.91696411318,,1937
1959,1959,1959_area_lake.gpkg,False,0,,,4186.608947127388,,1959
1959,1959,1959_area_lake_polygon.gpkg,True,1,1175390.550731731,117.53905507317312,8083.580995837868,,1959
1959,1959,1959_area_lake_polygon.shp,True,1,1175390.550731731,117.53905507317312,8083.580995837868,,1959
contemporain,Contemporary (2021),contemporain_area_lake.gpkg,True,1,937400.874575575,93.7400874575575,9922.22913614178,,2021
contemporain,Contemporary (2021),contemporain_area_lake_polygon.gpkg,True,1,937400.874575575,93.7400874575575,9922.22913614178,,2021
contemporain,Contemporary (2021),contemporain_area_lake_polygon.shp,True,1,937400.874575575,93.7400874575575,9922.22913614178,,2021
