map_key,map_label,type,file,rows,crs,geometry_types,columns
melotte,Melotte (1721),lake,melotte_area_lake.gpkg,2,EPSG:2056,MultiLineString,"id, geometry"
melotte,Melotte (1721),lake,melotte_lake.gpkg,2,EPSG:2056,MultiLineString,"id, geometry"
melotte,Melotte (1721),river,melotte_rivers.gpkg,25,EPSG:2056,MultiLineString,"id, Name, Length, geometry"
berney,Berney (1831),lake,berney_area_lake.gpkg,1,EPSG:2056,MultiLineString,"id, geometry"
berney,Berney (1831),lake,berney_lake.gpkg,1,EPSG:2056,MultiLineString,"id, geometry"
berney,Berney (1831),river,berney_rivers.gpkg,41,EPSG:2056,MultiLineString,"id, name, length, geometry"
renove,Rénové (1888),lake,renove_area_lake.gpkg,1,EPSG:2056,MultiLineString,"id, geometry"
renove,Rénové (1888),lake,renove_lake.gpkg,1,EPSG:2056,MultiLineString,"id, geometry"
renove,Rénové (1888),river,renove_river.gpkg,35,EPSG:2056,MultiLineString,"id, length, name, geometry"
1937,1937,lake,1937_area_lake.gpkg,3,EPSG:21781,MultiLineString,"id, geometry"
1937,1937,lake,1937_lake.gpkg,3,EPSG:21781,MultiLineString,"id, geometry"
1937,1937,river,1937_rivers.gpkg,8,EPSG:21781,MultiLineString,"id, name, length, geometry"
1959,1959,lake,1959_area_lake.gpkg,3,EPSG:2056,MultiLineString,"id, name, Name_1, length, geometry"
1959,1959,lake,1959_lake.gpkg,3,EPSG:2056,MultiLineString,"id, name, Name_1, length, geometry"
1959,1959,river,1959_rivers.gpkg,15,EPSG:2056,MultiLineString,"id, name, Name_1, length, geometry"
contemporain,Contemporary (2021),lake,contemporain_area_lake.gpkg,1,EPSG:2056,MultiLineString,"id, length, geometry"
contemporain,Contemporary (2021),lake,contemporain_lake.gpkg,1,EPSG:2056,MultiLineString,"id, length, geometry"
contemporain,Contemporary (2021),river,contemporain_rivers.gpkg,24,EPSG:4326,MultiLineString,"osm_id, name, type, width, length, geometry"
