clean_name,segment_count,length_m,map_key,map_label,sort_key,baseline_length_m,survival_pct
boveresses,1,764.7608757690638,berney,Berney (1831),1831,,
boveresses,1,767.172248778569,renove,Rénové (1888),1888,,
flon,11,4029.2734449106915,melotte,Melotte (1721),1721,4029.2734449106915,100.0
flon,18,5898.082647843863,berney,Berney (1831),1831,4029.2734449106915,100.0
flon,16,5491.141052197637,renove,Rénové (1888),1888,4029.2734449106915,100.0
flon,2,1040.0835578907952,1937,1937,1937,4029.2734449106915,25.813178780519536
flon,2,104.49692294719131,1959,1959,1959,4029.2734449106915,2.5934433186504044
flon,2,115.82015018010418,contemporain,Contemporary (2021),2021,4029.2734449106915,2.874467363995727
galicien,1,28.136454766659185,berney,Berney (1831),1831,,
inconnu,2,909.2470155151896,melotte,Melotte (1721),1721,909.2470155151896,100.0
inconnu,3,1096.5324814677924,berney,Berney (1831),1831,909.2470155151896,100.0
le rionzi,1,12.491815288792292,melotte,Melotte (1721),1721,12.491815288792292,100.0
le rionzi,1,12.684307421792642,contemporain,Contemporary (2021),2021,12.491815288792292,100.0
louve,5,2292.5496278483292,melotte,Melotte (1721),1721,2292.5496278483292,100.0
louve,12,2068.6303368891186,berney,Berney (1831),1831,2292.5496278483292,90.23273964326914
louve,5,1501.066701328707,renove,Rénové (1888),1888,2292.5496278483292,65.47586508465389
louve,2,1252.8700227610473,1937,1937,1937,2292.5496278483292,54.649635826506724
louve,1,446.1045860834369,1959,1959,1959,2292.5496278483292,19.458884582669995
louve,2,338.87250400389706,contemporain,Contemporary (2021),2021,2292.5496278483292,14.781468627222068
petit flon,1,17.449371902562255,melotte,Melotte (1721),1721,17.449371902562255,100.0
petit flon,1,9.567145487041165,1959,1959,1959,17.449371902562255,54.82802212288416
petit flon,1,4.186240334438757,contemporain,Contemporary (2021),2021,17.449371902562255,23.990779483724868
vuachere,5,3369.572676955445,melotte,Melotte (1721),1721,3369.572676955445,100.0
vuachere,6,3313.157019502742,berney,Berney (1831),1831,3369.572676955445,98.32573258210068
vuachere,5,3371.6088104862956,renove,Rénové (1888),1888,3369.572676955445,100.0
vuachere,3,1862.8839813124694,1937,1937,1937,3369.572676955445,55.28546673151641
vuachere,11,2755.831550387787,1959,1959,1959,3369.572676955445,81.78578753427573
vuachere,16,2793.3666652178326,contemporain,Contemporary (2021),2021,3369.572676955445,82.89973041156544
